name,stars,forks,age_years,language,description,url,watchers,open_issues,releases,contributors,loc_total,cbo_avg,dit_avg,lcom_avg,wmc_avg,cc_avg,created_at,updated_at,loc_comments_total,classes_count,methods_count,cbo_max,dit_max,lcom_max,noc_avg,clone_url
apache/dubbo,41367,26543,13.25,Java,The java implementation of Apache Dubbo. An RPC and microservice framework.,https://github.com/apache/dubbo,41367,922.0,117,41,60676000,8.55,4.82,62.0,14.33,2.27,,,,,,,,,,
PhilJay/MPAndroidChart,38105,9057,11.4,Java,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",https://github.com/PhilJay/MPAndroidChart,38105,2191.0,55,38,21593000,5.45,3.38,55.8,14.6,2.23,,,,,,,,,,
eugenp/tutorials,37260,54114,12.39,Java,Getting Started with Spring Boot 3: ,https://github.com/eugenp/tutorials,37260,34.0,110,37,114929000,8.2,3.66,51.3,14.4,2.1,,,,,,,,,,
halo-dev/halo,36928,10076,7.49,Java,强大易用的开源建站工具。,https://github.com/halo-dev/halo,36928,309.0,78,36,78223000,6.6,4.14,58.1,14.53,2.3,,,,,,,,,,
alibaba/arthas,36722,7589,7.05,Java,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,https://github.com/alibaba/arthas,36722,463.0,72,36,57444000,6.3,4.66,57.5,14.73,2.15,,,,,,,,,,
geekxh/hello-algorithm,35782,6470,5.3,Java,🌍 针对小白的算法训练 | 包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）推荐免费ChatGPT使用网站,https://github.com/geekxh/hello-algorithm,35782,11.0,132,35,365053000,9.3,3.9,63.5,14.13,2.15,,,,,,,,,,
airbnb/lottie-android,35474,5446,8.95,Java,"Render After Effects animations natively on Android and iOS, Web, and React Native",https://github.com/airbnb/lottie-android,35474,38.0,124,35,137313000,8.9,4.94,52.7,13.87,2.45,,,,,,,,,,
TeamNewPipe/NewPipe,35097,3257,10.04,Java,A libre lightweight streaming front-end for Android.,https://github.com/TeamNewPipe/NewPipe,35097,1264.0,147,35,82446000,10.05,3.38,55.0,13.93,2.52,,,,,,,,,,
doocs/leetcode,34951,9145,7.0,Java,🔥LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,https://github.com/doocs/leetcode,34951,0.0,101,34,694121000,7.75,4.9,60.4,14.47,2.38,,,,,,,,,,
bumptech/glide,34950,6173,12.19,Java,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide,34950,609.0,100,34,97781000,7.7,4.02,60.3,14.33,2.35,,,,,,,,,,
netty/netty,34438,16171,14.86,Java,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty,34438,650.0,88,34,101937000,7.1,3.94,49.1,12.87,2.55,,,,,,,,,,
xkcoding/spring-boot-demo,33912,10990,7.85,Java,🚀一个用来深入学习并实战 Spring Boot 的项目。,https://github.com/xkcoding/spring-boot-demo,33912,142.0,62,33,14194000,5.8,4.7,56.5,13.47,2.4,,,,,,,,,,
Blankj/AndroidUtilCode,33644,10707,9.13,Java,:fire: Android developers should collect the following utils(updating).,https://github.com/Blankj/AndroidUtilCode,33644,325.0,94,33,47329000,7.4,3.38,49.7,14.6,2.2,,,,,,,,,,
alibaba/easyexcel,33626,7642,7.61,Java,快速、简洁、解决大文件内存溢出的java处理Excel工具,https://github.com/alibaba/easyexcel,33626,570.0,76,33,26334000,6.5,4.78,47.9,14.27,2.25,,,,,,,,,,
zxing/zxing,33592,9420,13.93,Java,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",https://github.com/zxing/zxing,33592,8.0,142,33,242799000,9.8,3.9,64.5,12.8,2.4,,,,,,,,,,
YunaiV/ruoyi-vue-pro,33258,7163,4.65,Java,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,https://github.com/YunaiV/ruoyi-vue-pro,33258,9.0,108,33,183744000,8.1,3.62,51.1,14.33,2.55,,,,,,,,,,
SeleniumHQ/selenium,33229,8588,12.67,Java,A browser automation framework and ecosystem.,https://github.com/SeleniumHQ/selenium,33229,261.0,79,33,2350809000,6.65,4.62,48.2,13.33,2.33,,,,,,,,,,
alibaba/nacos,32053,13144,7.26,Java,"an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications.",https://github.com/alibaba/nacos,32053,264.0,103,32,66816000,7.85,4.86,50.6,13.07,2.43,,,,,,,,,,
binarywang/WxJava,31923,8981,9.7,Java,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发,https://github.com/binarywang/WxJava,31923,86.0,73,31,18700000,6.35,4.34,57.6,13.53,2.18,,,,,,,,,,
apache/kafka,30921,14636,14.09,Java,Mirror of Apache Kafka,https://github.com/apache/kafka,30921,247.0,71,30,258617000,6.25,4.54,57.4,14.53,2.12,,,,,,,,,,
ityouknow/spring-boot-examples,30607,12342,8.87,Java,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 ,https://github.com/ityouknow/spring-boot-examples,30607,17.0,57,30,1074000,5.55,4.78,46.0,13.6,2.27,,,,,,,,,,
chinabugotech/hutool,30075,7662,11.43,Java,🍬A set of tools that keep Java sweet.,https://github.com/chinabugotech/hutool,30075,3.0,125,30,70597000,8.95,3.58,52.8,13.6,2.48,,,,,,,,,,
apolloconfig/apollo,29656,10229,9.54,Java,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,https://github.com/apolloconfig/apollo,29656,152.0,106,29,56697000,8.0,4.26,50.9,14.73,2.5,,,,,,,,,,
keycloak/keycloak,29625,7618,12.21,Java,Open Source Identity and Access Management For Modern Applications and Services,https://github.com/keycloak/keycloak,29625,2224.0,75,29,555152000,6.45,3.82,47.8,14.67,2.23,,,,,,,,,,
alibaba/canal,29372,7676,12.68,Java,阿里巴巴 MySQL binlog 增量订阅&消费组件 ,https://github.com/alibaba/canal,29372,1234.0,122,29,24182000,8.8,4.14,62.5,14.53,2.4,,,,,,,,,,
xuxueli/xxl-job,29320,11311,9.8,Java,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,https://github.com/xuxueli/xxl-job,29320,341.0,70,29,37871000,6.2,3.54,57.3,12.87,2.1,,,,,,,,,,
conductor-oss/conductor,29181,717,1.78,Java,Conductor is an event driven orchestration platform providing durable and highly resilient execution engine for your applications,https://github.com/conductor-oss/conductor,29181,85.0,131,29,29647000,9.25,3.78,63.4,14.6,2.12,,,,,,,,,,
wuyouzhuguli/SpringAll,28961,8173,7.38,Java,循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Batch、Spring Cloud、Spring Cloud Alibaba、Spring Security & Spring Security OAuth2，博客Spring系列源码：https://mrbird.cc,https://github.com/wuyouzhuguli/SpringAll,28961,34.0,111,28,1069000,8.25,4.02,61.4,13.67,2.12,,,,,,,,,,
alibaba/spring-cloud-alibaba,28762,8473,7.79,Java,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,https://github.com/alibaba/spring-cloud-alibaba,28762,227.0,112,28,55812000,8.3,4.02,61.5,13.67,2.15,,,,,,,,,,
alibaba/druid,28194,8601,13.87,Java,阿里云计算平台DataWorks(https://help.aliyun.com/document_detail/137663.html) 团队出品，为监控而生的数据库连接池,https://github.com/alibaba/druid,28194,2299.0,144,28,91726000,9.9,3.14,64.7,14.2,2.45,,,,,,,,,,
lenve/vhr,27947,10309,7.7,Java,微人事是一个前后端分离的人力资源管理系统，项目采用SpringBoot+Vue开发。,https://github.com/lenve/vhr,27947,213.0,97,27,8480000,7.55,3.46,60.0,14.07,2.27,,,,,,,,,,
DrKLO/Telegram,27541,8944,11.9,Java,Telegram for Android source,https://github.com/DrKLO/Telegram,27541,418.0,91,27,602045000,7.25,4.86,59.4,13.07,2.12,,,,,,,,,,
crossoverJie/JCSprout,27068,7044,7.75,Java,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm ",https://github.com/crossoverJie/JCSprout,27068,45.0,118,27,1191000,8.6,4.86,52.1,14.4,2.3,,,,,,,,,,
qiurunze123/miaosha,26511,6631,7.01,Java,⭐⭐⭐⭐秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓,https://github.com/qiurunze123/miaosha,26511,4.0,61,26,65716000,5.75,4.34,56.4,12.87,2.38,,,,,,,,,,
ashishps1/awesome-system-design-resources,26033,6170,1.9,Java,Learn System Design concepts and prepare for interviews using free resources.,https://github.com/ashishps1/awesome-system-design-resources,26033,6.0,83,26,2249000,6.85,3.9,48.6,14.13,2.43,,,,,,,,,,
apache/incubator-seata,25805,8870,6.72,Java,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution.",https://github.com/apache/incubator-seata,25805,873.0,55,25,29260000,5.45,3.9,45.8,14.13,2.23,,,,,,,,,,
alibaba/fastjson,25750,6476,13.87,Java,"FASTJSON 2.0.x has been released, faster and more secure, recommend you upgrade.",https://github.com/alibaba/fastjson,25750,2112.0,100,25,15513000,7.7,4.14,60.3,14.53,2.35,,,,,,,,,,
JakeWharton/butterknife,25482,4583,12.54,Java,Bind Android views and callbacks to fields and methods.,https://github.com/JakeWharton/butterknife,25482,119.0,132,25,3909000,9.3,4.42,53.5,14.33,2.15,,,,,,,,,,
hollischuang/toBeTopJavaer,25469,5436,6.9,Java,To Be Top Javaer - Java工程师成神之路,https://github.com/hollischuang/toBeTopJavaer,25469,61.0,119,25,8004000,8.65,4.54,52.2,13.2,2.33,,,,,,,,,,
apache/flink,25274,13782,11.28,Java,Apache Flink,https://github.com/apache/flink,25274,188.0,124,25,530362000,8.9,4.38,52.7,13.6,2.45,,,,,,,,,,
scwang90/SmartRefreshLayout,25154,4975,8.29,Java,🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。,https://github.com/scwang90/SmartRefreshLayout,25154,333.0,104,25,274026000,7.9,4.1,60.7,14.47,2.45,,,,,,,,,,
proxyee-down-org/proxyee-down,24869,4404,7.9,Java,http下载工具，基于http代理，支持多连接分块下载,https://github.com/proxyee-down-org/proxyee-down,24869,214.0,119,24,26864000,8.65,3.26,52.2,14.4,2.33,,,,,,,,,,
OpenAPITools/openapi-generator,24849,7172,7.35,Java,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",https://github.com/OpenAPITools/openapi-generator,24849,5378.0,99,24,930617000,7.65,3.98,50.2,12.93,2.33,,,,,,,,,,
Anuken/Mindustry,24817,3179,8.38,Java,The automation tower defense RTS,https://github.com/Anuken/Mindustry,24817,59.0,67,24,1873497000,6.05,4.26,47.0,14.73,2.52,,,,,,,,,,
greenrobot/EventBus,24764,4671,13.17,Java,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",https://github.com/greenrobot/EventBus,24764,146.0,114,24,1742000,8.4,3.94,61.7,14.2,2.2,,,,,,,,,,
bazelbuild/bazel,24565,4293,11.27,Java,"a fast, scalable, multi-language and extensible build system",https://github.com/bazelbuild/bazel,24565,1808.0,115,24,980535000,8.45,4.82,61.8,13.0,2.23,,,,,,,,,,
apache/skywalking,24524,6616,9.86,Java,"APM, Application Performance Monitoring System",https://github.com/apache/skywalking,24524,69.0,74,24,173336000,6.4,3.74,57.7,13.87,2.2,,,,,,,,,,
yuliskov/SmartTube,24505,1317,5.14,Java,Browse media content with your own rules on Android TV,https://github.com/yuliskov/SmartTube,24505,2717.0,55,24,100424000,5.45,3.78,55.8,14.6,2.23,,,,,,,,,,
jenkinsci/jenkins,24441,9140,14.82,Java,Jenkins automation server,https://github.com/jenkinsci/jenkins,24441,97.0,91,24,167620000,7.25,4.7,49.4,14.13,2.12,,,,,,,,,,
Netflix/Hystrix,24400,4718,12.83,Java,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",https://github.com/Netflix/Hystrix,24400,409.0,50,24,9799000,5.2,3.82,45.3,13.33,2.1,,,,,,,,,,
libgdx/libgdx,24349,6509,13.1,Java,Desktop/Android/HTML5/iOS Java game development framework,https://github.com/libgdx/libgdx,24349,331.0,99,24,1106381000,7.65,3.46,60.2,14.73,2.33,,,,,,,,,,
CodePhiliaX/Chat2DB,24263,2636,2.25,Java,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more.",https://github.com/CodePhiliaX/Chat2DB,24263,501.0,113,24,18843000,8.35,4.54,51.6,14.53,2.18,,,,,,,,,,
google/gson,24049,4349,10.5,Java,A Java serialization/deserialization library to convert Java Objects into JSON and back,https://github.com/google/gson,24049,322.0,99,24,13708000,7.65,5.06,50.2,14.73,2.33,,,,,,,,,,
redisson/redisson,24033,5478,11.68,Java,"Redisson - Valkey & Redis Java client. Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache..",https://github.com/redisson/redisson,24033,311.0,83,24,31670000,6.85,4.22,48.6,14.0,2.43,,,,,,,,,,
doocs/source-code-hunter,22965,4220,5.89,Java,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等,https://github.com/doocs/source-code-hunter,22965,9.0,115,22,99490000,8.45,3.9,61.8,14.13,2.23,,,,,,,,,,
iBotPeaches/Apktool,22912,3808,13.5,Java,A tool for reverse engineering Android apk files,https://github.com/iBotPeaches/Apktool,22912,88.0,62,22,333706000,5.8,3.42,56.5,14.67,2.4,,,,,,,,,,
alibaba/Sentinel,22905,8133,7.46,Java,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",https://github.com/alibaba/Sentinel,22905,897.0,55,22,8384000,5.45,4.42,55.8,13.0,2.23,,,,,,,,,,
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22783,779,12.82,Java,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22783,535.0,133,22,340000,9.35,4.26,63.6,14.73,2.18,,,,,,,,,,
apache/rocketmq,22096,11949,8.8,Java,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",https://github.com/apache/rocketmq,22096,328.0,146,22,44208000,10.0,5.06,54.9,13.4,2.5,,,,,,,,,,
dataease/dataease,21884,3784,4.62,Java,🔥 人人可用的开源 BI 工具，数据可视化神器。An open-source BI tool alternative to Tableau.,https://github.com/dataease/dataease,21884,60.0,134,21,317377000,9.4,4.46,53.7,13.07,2.2,,,,,,,,,,
google/ExoPlayer,21876,6044,11.26,Java,This project is deprecated and stale. The latest ExoPlayer code is available in https://github.com/androidx/media,https://github.com/google/ExoPlayer,21876,637.0,126,21,484242000,9.0,4.86,52.9,13.73,2.5,,,,,,,,,,
elunez/eladmin,21789,7394,6.76,Java,eladmin jpa 版本：项目基于 Spring Boot 2.7.18、 Jpa、 Spring Security、Redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,https://github.com/elunez/eladmin,21789,6.0,139,21,7461000,9.65,4.86,64.2,13.73,2.33,,,,,,,,,,
openjdk/jdk,21714,6233,7.0,Java,JDK main-line development https://openjdk.org/projects/jdk,https://github.com/openjdk/jdk,21714,420.0,64,21,1370813000,5.9,4.42,56.7,14.33,2.45,,,,,,,,,,
LSPosed/LSPosed,21576,3803,4.76,Java,LSPosed Framework,https://github.com/LSPosed/LSPosed,21576,5.0,126,21,21605000,9.0,3.22,62.9,14.33,2.5,,,,,,,,,,
kestra-io/kestra,21180,1829,6.07,Java,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins for data, infrastructure, and AI automation.",https://github.com/kestra-io/kestra,21180,476.0,130,21,74722000,9.2,4.26,63.3,14.73,2.1,,,,,,,,,,
CarGuo/GSYVideoPlayer,21105,4296,8.84,Java,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，16k page size，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。 ",https://github.com/CarGuo/GSYVideoPlayer,21105,15.0,55,21,338373000,5.45,4.94,55.8,13.2,2.23,,,,,,,,,,
oracle/graal,21092,1738,9.68,Java,"GraalVM compiles applications into native executables that start instantly, scale fast, and use fewer compute resources 🚀",https://github.com/oracle/graal,21092,782.0,142,21,457820000,9.8,4.62,54.5,14.67,2.4,,,,,,,,,,
brettwooldridge/HikariCP,20717,2999,11.94,Java,"光 HikariCP・A solid, high-performance, JDBC connection pool at last.",https://github.com/brettwooldridge/HikariCP,20717,503.0,67,20,5027000,6.05,5.06,57.0,14.73,2.52,,,,,,,,,,
kunal-kushwaha/DSA-Bootcamp-Java,20666,12588,4.13,Java,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs.",https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,20666,608.0,116,20,101640000,8.5,4.62,51.9,14.0,2.25,,,,,,,,,,
apache/shardingsphere,20452,6839,9.66,Java,"Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases.",https://github.com/apache/shardingsphere,20452,556.0,102,20,674052000,7.8,4.66,50.5,14.73,2.4,,,,,,,,,,
didi/DoKit,20388,3186,7.09,Java,一款面向泛前端产品研发全生命周期的效率平台。,https://github.com/didi/DoKit,20388,270.0,138,20,58616000,9.6,4.54,64.1,13.2,2.3,,,,,,,,,,
mybatis/mybatis-3,20231,12964,12.59,Java,MyBatis SQL mapper framework for Java,https://github.com/mybatis/mybatis-3,20231,203.0,81,20,158277000,6.75,3.66,48.4,13.07,2.38,,,,,,,,,,
ReactiveX/RxAndroid,20082,2949,11.08,Java,RxJava bindings for Android,https://github.com/ReactiveX/RxAndroid,20082,1.0,132,20,1051000,9.3,5.06,53.5,13.4,2.15,,,,,,,,,,
linlinjava/litemall,19922,7333,7.49,Java,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,https://github.com/linlinjava/litemall,19922,42.0,72,19,24591000,6.3,4.42,57.5,13.67,2.15,,,,,,,,,,
yudaocode/SpringBoot-Labs,19862,6144,7.01,Java,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024,https://github.com/yudaocode/SpringBoot-Labs,19862,46.0,112,19,1813000,8.3,4.86,51.5,14.4,2.15,,,,,,,,,,
xiaojieonly/Ehviewer_CN_SXJ,19727,528,4.85,Java,ehviewer，用爱发电，快乐前行,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,19727,312.0,77,19,13648000,6.55,4.22,58.0,14.0,2.27,,,,,,,,,,
thingsboard/thingsboard,19715,5796,8.79,Java,"Open-source IoT Platform - Device management, data collection, processing and visualization.",https://github.com/thingsboard/thingsboard,19715,388.0,65,19,310592000,5.95,4.94,56.8,13.2,2.48,,,,,,,,,,
dianping/cat,18936,5438,12.78,Java,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。",https://github.com/dianping/cat,18936,213.0,86,18,114117000,7.0,4.62,58.9,13.33,2.5,,,,,,,,,,
Baseflow/PhotoView,18871,3933,13.17,Java,"Implementation of ImageView for Android that supports zooming, by various touch gestures.",https://github.com/Baseflow/PhotoView,18871,220.0,121,18,16896000,8.75,4.42,52.4,13.0,2.38,,,,,,,,,,
JetBrains/intellij-community,18785,5557,13.97,Java,IntelliJ IDEA & IntelliJ Platform,https://github.com/JetBrains/intellij-community,18785,186.0,135,18,5438931000,9.45,3.38,63.8,13.27,2.23,,,,,,,,,,
dropbox/client-netty,3408,1216,2.12,Java,A popular Java tool for boot,https://github.com/dropbox/client-netty,3360,,22,63,130622,15.53,4.65,47.29,36.21,4.51,2023-08-06T22:56:09.333440Z,2025-01-23T22:56:09.333444Z,37531.0,276.0,3491.0,73.0,7.0,120.0,5.52,https://github.com/dropbox/client-netty.git
apache/httpclient,2798,753,14.51,Java,A popular Java plugin for cassandra,https://github.com/apache/httpclient,3142,,113,17,60254,18.49,1.43,37.56,12.65,9.02,2011-03-16T22:56:09.359522Z,2025-01-26T22:56:09.359525Z,14766.0,228.0,2076.0,43.0,2.0,62.0,2.59,https://github.com/apache/httpclient.git
